TIPO ,SERIE,NUMERO,NOMBRE,AÑO,MEDIDAS,PESO,DESCRIPCION,Precio U$S,ESTADO,DESTINATARIO,TECNICA,VIDEO
OBRAS AÑO,2018,0001,Refugiados,2018,"Ancho: 45 cm  Alto: 48 cm, Fondo: 13 cm. ",2 Kg,"
“Refugiados”, seleccionada por el equipo curatorial del Museo de Arte Moderno de 
Buenos Aires para la plataforma de Galicia Online Banking

Atrapados en un silencio, 
enlazan sus historias.
El dolor de la huida 
los pone a rumiar 
ecos de voces doradas.
La angustia se multiplica 
en las miradas.
Se desencuentran 
en identidades confundidas.
Entre sueños retornan...
Refugiados en sus cuerpos, 
se desmoronan y se alzan,
 lloran y ríen, 
ensayan una salida:
la llegada.

Graciela Neira Lage",USD 350,V,Marcela Ospital,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2018,0002,La colina de la Vida,2018,"Ancho: 56 cm, Alto: 91 cm, Fondo: 32 cm. ","3,8 kg","Atrapados Deambulan uno tras otro,
y todos a la vez.
Se rozan, se huelen,
superponen sus lenguas,
se cruzan y se enredan.
Los pies en la tierra,
y el alma en búsqueda
                                de la colina.
En la colina el aire 
es otro; la luz abriga 
y la sombra protege.
En la colina 
moran los sabios,
en las altas ramas
junto a las aves.
En la colina
el viento se aquieta.
Las risas murmuran
y se hacen canto.
En la colina
se ve completo
el tablero y
                 Las infinitas jugadas.
Allí está,
          t ras el telón,
                         la colina de la vida…

          Graciela Neira Lage

",USD 600,D,Donada Museo Raggio,"Técnicas mixtas: ensamblado, tallado y escultura",https://youtube.com/shorts/RflqMFlG2NE?feature=share
OBRAS AÑO,2018,0003,Camino a Lampedusa,2018,"Ancho: 60 cm, Alto: 54 cm,  Fondo: 12 cm. ",4 kg,"“Son hombres y mujeres como nosotros, hermanos que buscan una vida mejor; hambrientos, perseguidos, heridos, explotados, víctimas de guerras… Hombres y mujeres como nosotros. Buscaban la felicidad”.               Francisco, ante los naufragios en el Mediterraneo",USD 300,D,Nani Cogorno    Mar de las Pampas,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2018,0004,Solo con mi perro,2018,"Ancho: 42 cm, Alto: 35 cm,  Fondo: 15cm. ","0,950 kg",,USD 150,V,Maite Maz,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2018,0005,Susto,2018,"Ancho: 30 cm, Alto: 25 cm,  Fondo: 15 cm","0,650 kg",,USD 100,V,Alicia Lazcano BADA ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2019,0006,La mano protectora,2019,"Ancho: 52 cm, Alto: 52 cm, Fondo: 20 cm",6 kg,"Algunos  la sienten, otros no. 
Algunos la invocan, otros no.
Algunos se preguntan, otros no.
¡Allí está! 
En la cultura,
en el lenguaje,
en la historia.
¿Qué es verdad?  
¿Qué es fantasía?  
¡Fantasía es realidad!  
Aunque la verdad
goce de otro prestigio,
y sea protagonista 
de tanto discurso.
La realidad se sostiene
en una mano protectora,
que actúa con sigilo:
la protección a sus espaldas,
ellos de cara al horizonte,
miran y esperan.
Hay quienes avanzan,
hay quienes se detienen,
están los que se abrazan,
reposan, hallan la calma.
Y unos pocos Aventureros
escalaron a la cima.
Allí no hay duda,
                      allí se sabe.

      Graciela Neira Lage
",USD 600,V,Galería Caracoles - Jose Ignacio,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2019,0007,En el barco,2019,"Ancho: 49 cm, Alto: 68 cm, Fondo: 18 cm. ",26 kg,"“En el Barco”, seleccionada por el Fondo Nacional de las Artes para exponerla en el Museo de Arte Popular José Hernández (MAP)

Reconocimiento  a Carola Rackete, y el barco alemán Sea Watch, que  atracó con 40 migrantes a bordo en el puerto italiano de Lampedusa, desafiando la prohibición de las autoridades después de estar en el mar durante más de dos semanas. Carola Rackete, de 31 años, capitana de la embarcación, fue posteriormente detenida por la policía italiana, cuyo servicio de aduanas había impedido en varias ocasiones que el barco atracara.
",USD 1.200, , ,"Técnicas mixtas: ensamblado, tallado y escultura",https://youtube.com/shorts/RflqMFlG2NE?feature=share
OBRAS AÑO,2019,0008,El Estadio Nacional de Santiago,2019,"Ancho: 92 cm , Alto: 68 cm, Fondo: 17 cm.",10 kg,"""El olvido está lleno de memoria"",  Mario Benedetti  dice:,  ""El olvido es un gran simulacro repleto de fantasmas. Nadie puede olvidar, aunque así lo quiera. El olvido no es un depósito desierto, ni una cosecha de la nada: el amor, el desamparo, las lealtades y las traiciones no se borran."" ",USD 200,V,Dolores - San Isidro,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2019,0009,Cheuquepan,2019,"Ancho: 45 cm, Alto: 58 cm, Fondo: 12 cm.  ","4,8 kg","Cheuquepan, ""la gente que se convirtió en puma o el puma que se convirtió en gente"", según creencias Mapuches,  quienes dicen que las familias vienen de un elemento particular de la naturaleza (Kumpeñ), a la cual regresan después de la muerte. ",USD 350,V,Adriana Gerzonswit visky ,"Técnicas mixtas: ensamblado, tallado y escultura",
OBRAS AÑO,2019,0010,Protegidos por el viento,2019,"Ancho: 50 cm, Alto: 60 cm, Fondo: 10 cm.",3 kg,"El viento es un caballo:
óyelo cómo corre
por el mar, por el cielo.
Quiere llevarme: escucha
cómo recorre el mundo
para llevarme lejos. 

Pablo Neruda
",USD 250,V,Claudia Rosales Hijo CNN,"Técnicas mixtas: ensamblado, tallado y escultura",
